frame_index,video_time_seconds,inference_ms,raw_detection_count,duplicate_boxes_removed,before_counted,after_counted,before_ignored,after_ignored,before_max_density,after_max_density,boundary_status_overrides
0,0.0,831.167,2,0,2,2,0,0,1.0,1.0,0
30,1.0,536.015,2,0,2,2,0,0,1.0,1.0,0
60,2.0,460.526,2,0,2,2,0,0,1.0,1.0,0
90,3.0,449.878,2,0,2,2,0,0,1.1765,1.1765,0
120,4.0,391.978,2,0,2,2,0,0,1.1765,1.1765,0
150,5.0,402.168,2,0,2,2,0,0,1.1765,1.1765,0
180,6.0,367.771,2,0,2,2,0,0,1.1765,1.1765,0
210,7.0,499.085,2,0,2,2,0,0,1.1765,1.1765,0
240,8.0,587.364,2,0,2,2,0,0,1.0,1.0,0
270,9.0,1394.544,2,0,2,2,0,0,1.0,1.0,0
300,10.0,1188.243,2,0,2,2,0,0,1.0,1.0,0
330,11.0,628.283,2,0,2,2,0,0,1.0,1.0,0
360,12.0,1317.946,2,0,2,2,0,0,1.0,1.0,0
390,13.0,517.819,3,0,2,2,1,1,1.0,1.0,0
420,14.0,421.059,3,0,2,2,1,1,1.0,1.0,0
450,15.0,472.168,3,0,2,2,1,1,1.0,1.0,0
480,16.0,570.823,3,0,2,2,1,1,1.0,1.0,0
510,17.0,534.855,3,0,3,2,0,1,1.0,1.0,1
540,18.0,633.783,3,0,3,3,0,0,1.0,1.0,0
570,19.0,533.642,3,0,3,3,0,0,1.0,1.0,0
600,20.0,479.528,3,0,3,3,0,0,1.0,1.0,0
630,21.0,473.463,3,0,3,3,0,0,1.0,1.0,0
660,22.0,547.24,3,0,3,3,0,0,1.0,1.0,0
690,23.0,537.722,3,0,3,3,0,0,1.0,1.0,0
720,24.0,415.006,3,0,3,3,0,0,1.0,1.0,0
750,25.0,354.415,3,0,3,3,0,0,1.0,1.0,0
780,26.0,445.197,3,0,3,3,0,0,1.0,1.0,0
810,27.0,427.075,3,0,3,3,0,0,1.0,1.0,0
840,28.0,366.987,3,0,3,3,0,0,1.0,1.0,0
870,29.0,407.544,3,0,3,3,0,0,1.0,1.0,0
900,30.0,499.944,3,0,3,3,0,0,1.0,1.0,0
930,31.0,455.634,3,0,3,3,0,0,2.0,2.0,0
960,32.0,561.498,3,0,3,3,0,0,2.0,2.0,0
990,33.0,495.529,3,0,3,3,0,0,2.0,2.0,0
1020,34.0,566.865,3,0,3,3,0,0,2.0,2.0,0
1050,35.0,576.343,3,0,3,3,0,0,2.0,2.0,0
1080,36.0,609.192,3,0,3,3,0,0,2.0,2.0,0
1110,37.0,543.82,3,0,3,3,0,0,2.0,2.0,0
1140,38.0,478.612,3,0,3,3,0,0,2.0,2.0,0
1170,39.0,630.436,3,0,3,3,0,0,2.0,2.0,0
1200,40.0,542.24,3,0,3,3,0,0,2.0,2.0,0
1230,41.0,581.317,3,0,3,3,0,0,2.0,2.0,0
1260,42.0,529.136,3,0,3,3,0,0,2.0,2.0,0
1290,43.0,459.773,3,0,3,3,0,0,1.0,1.0,0
1320,44.0,474.929,2,0,2,2,0,0,1.0,1.0,0
1350,45.0,473.563,3,0,3,3,0,0,2.0,2.0,0
1380,46.0,430.231,3,0,3,3,0,0,1.0,1.0,0
1410,47.0,479.794,3,0,3,3,0,0,1.0,1.0,0
1440,48.0,580.016,3,0,3,3,0,0,1.0,1.0,0
1470,49.0,669.034,3,0,3,3,0,0,2.0,2.0,0
1500,50.0,656.691,3,0,3,3,0,0,2.0,2.0,0
1530,51.0,770.735,3,0,3,3,0,0,2.0,2.0,0
1560,52.0,1071.652,3,0,3,3,0,0,2.0,2.0,0
1590,53.0,880.697,3,0,3,3,0,0,2.0,2.0,0
1620,54.0,702.23,3,0,3,3,0,0,2.0,2.0,0
1650,55.0,726.961,3,0,3,3,0,0,2.0,2.0,0
1680,56.0,717.858,2,0,2,2,0,0,1.0,1.0,0
1710,57.0,543.148,2,0,2,2,0,0,2.0,2.0,0
1740,58.0,518.306,3,0,3,3,0,0,1.0,1.0,0
1770,59.0,582.872,3,0,3,3,0,0,1.0,1.0,0
1800,60.0,584.029,3,0,3,3,0,0,1.0,1.0,0
1830,61.0,536.886,3,0,3,3,0,0,1.0,1.0,0
1860,62.0,459.042,3,0,3,3,0,0,1.0,1.0,0
1890,63.0,461.413,3,0,3,3,0,0,1.0,1.0,0
1920,64.0,521.193,3,0,3,3,0,0,1.0,1.0,0
1950,65.0,589.006,3,0,3,3,0,0,1.0,1.0,0
1980,66.0,566.338,3,0,3,3,0,0,1.0,1.0,0
2010,67.0,471.286,3,0,3,3,0,0,1.0,1.0,0
2040,68.0,726.337,3,0,3,3,0,0,1.0,1.0,0
2070,69.0,503.452,3,0,3,3,0,0,1.0,1.0,0
2100,70.0,505.214,2,0,2,2,0,0,2.0,2.0,0
2130,71.0,544.777,2,0,2,2,0,0,2.0,2.0,0
2160,72.0,484.067,2,0,2,2,0,0,2.0,2.0,0
2190,73.0,585.528,3,0,3,3,0,0,2.0,2.0,0
2220,74.0,463.062,3,0,3,3,0,0,1.0,1.0,0
2250,75.0,532.516,4,0,4,4,0,0,2.0,2.0,0
2280,76.0,599.962,3,0,3,3,0,0,1.0,1.0,0
2310,77.0,582.559,3,0,3,3,0,0,2.0,2.0,0
2340,78.0,626.169,3,0,3,3,0,0,1.0,1.0,0
2370,79.0,522.205,4,0,4,4,0,0,3.0,3.0,0
2400,80.0,496.213,3,0,3,3,0,0,1.0,1.0,0
2430,81.0,605.778,2,0,2,2,0,0,1.0,1.0,0
2460,82.0,599.894,3,0,3,3,0,0,1.0,1.0,0
2490,83.0,554.216,3,0,3,3,0,0,1.0,1.0,0
2520,84.0,515.726,3,0,3,3,0,0,1.0,1.0,0
2550,85.0,445.946,3,0,3,3,0,0,1.0,1.0,0
2580,86.0,608.564,3,0,3,3,0,0,1.0,1.0,0
2610,87.0,538.593,3,0,3,3,0,0,1.0,1.0,0
2640,88.0,613.723,3,0,3,3,0,0,1.0,1.0,0
2670,89.0,521.692,3,0,3,3,0,0,1.0,1.0,0
2700,90.0,553.296,3,0,3,3,0,0,1.0,1.0,0
2730,91.0,512.218,3,0,3,3,0,0,1.0,1.0,0
2760,92.0,498.472,3,0,3,3,0,0,1.0,1.0,0
2790,93.0,554.29,3,0,3,3,0,0,1.0,1.0,0
2820,94.0,536.857,3,0,3,3,0,0,1.0,1.0,0
2850,95.0,901.899,3,0,3,3,0,0,1.0,1.0,0
2880,96.0,953.362,3,0,3,3,0,0,1.0,1.0,0
2910,97.0,1275.864,3,0,3,3,0,0,2.0,2.0,0
2940,98.0,967.468,3,0,3,3,0,0,3.0,3.0,0
2970,99.0,639.011,2,0,2,2,0,0,1.0,1.0,0
3000,100.0,572.277,2,0,2,2,0,0,1.0,1.0,0
3030,101.0,708.62,2,0,2,2,0,0,1.0,1.0,0
3060,102.0,659.931,2,0,2,2,0,0,1.0,1.0,0
3090,103.0,549.012,2,0,2,2,0,0,1.0,1.0,0
3120,104.0,497.211,1,0,1,1,0,0,1.0,1.0,0
3150,105.0,449.639,1,0,1,1,0,0,1.0,1.0,0
3180,106.0,602.916,3,0,3,3,0,0,2.0,2.0,0
3210,107.0,524.917,3,0,3,3,0,0,3.0,3.0,0
3240,108.0,624.15,2,0,2,2,0,0,1.0,1.0,0
3270,109.0,470.436,2,0,2,2,0,0,2.0,2.0,0
3300,110.0,565.351,3,0,3,3,0,0,1.0,1.0,0
3330,111.0,536.654,2,0,2,2,0,0,1.0,1.0,0
3360,112.0,517.815,2,0,2,2,0,0,1.0,1.0,0
3390,113.0,641.214,2,0,2,2,0,0,1.0,1.0,0
3420,114.0,568.462,2,0,2,2,0,0,1.0,1.0,0
3450,115.0,582.073,2,0,2,2,0,0,1.0,1.0,0
3480,116.0,520.053,2,0,2,2,0,0,1.0,1.0,0
3510,117.0,492.356,2,0,2,2,0,0,1.0,1.0,0
3540,118.0,780.534,3,0,3,3,0,0,2.0,2.0,0
3570,119.0,1394.586,3,0,3,3,0,0,1.0,1.0,0
3600,120.0,1129.098,3,0,3,3,0,0,1.0,1.0,0
3630,121.0,1078.781,3,0,3,3,0,0,2.0,2.0,0
3660,122.0,887.742,3,0,3,3,0,0,1.0,1.0,0
3690,123.0,684.974,3,0,3,3,0,0,2.0,2.0,0
3720,124.0,555.144,3,0,3,3,0,0,1.0,1.0,0
3750,125.0,649.119,3,0,3,3,0,0,1.0,1.0,0
3780,126.0,597.506,3,0,3,3,0,0,2.0,2.0,0
3810,127.0,601.183,3,0,3,3,0,0,1.0,1.0,0
3840,128.0,535.382,2,0,2,2,0,0,1.0,1.0,0
3870,129.0,585.59,1,0,1,1,0,0,1.0,1.0,0
3900,130.0,612.33,2,1,2,1,0,0,1.0,1.0,0
3930,131.0,440.66,0,0,0,0,0,0,0.0,0.0,0
3960,132.0,440.824,0,0,0,0,0,0,0.0,0.0,0
3990,133.0,420.435,3,0,3,3,0,0,2.0,2.0,0
4020,134.0,515.433,3,0,3,3,0,0,2.0,2.0,0
4050,135.0,486.254,3,0,3,3,0,0,1.1765,1.1765,0
4080,136.0,623.186,3,0,3,3,0,0,1.1765,1.1765,0
4110,137.0,547.447,3,0,3,3,0,0,1.1765,1.1765,0
4140,138.0,645.016,3,0,3,3,0,0,1.1765,1.1765,0
4170,139.0,594.448,3,0,3,3,0,0,1.1765,1.1765,0
4200,140.0,877.782,3,0,3,3,0,0,2.0,2.0,0
4230,141.0,654.934,3,0,3,3,0,0,2.0,2.0,0
4260,142.0,614.857,3,0,3,3,0,0,2.0,2.0,0
4290,143.0,523.345,3,0,3,3,0,0,2.0,2.0,0
4320,144.0,481.266,3,0,3,3,0,0,1.0,1.0,0
4350,145.0,540.964,3,0,3,3,0,0,2.0,2.0,0
4380,146.0,646.4,3,0,3,3,0,0,2.0,2.0,0
4410,147.0,759.901,3,0,3,3,0,0,2.0,2.0,0
4440,148.0,561.399,3,0,3,3,0,0,1.0,1.0,0
4470,149.0,479.894,3,0,3,3,0,0,2.0,2.0,0
4500,150.0,593.376,3,0,3,3,0,0,2.0,2.0,0
4530,151.0,529.242,2,0,2,2,0,0,2.0,2.0,0
4560,152.0,777.785,2,0,2,2,0,0,1.0,1.0,0
4590,153.0,820.388,3,0,3,3,0,0,1.0,1.0,0
4620,154.0,705.274,2,0,2,2,0,0,1.0,1.0,0
4650,155.0,640.324,2,0,2,2,0,0,2.0,2.0,0
4680,156.0,526.591,2,0,2,2,0,0,1.0,1.0,0
4710,157.0,738.767,2,0,2,2,0,0,2.0,2.0,0
4740,158.0,613.354,2,0,2,2,0,0,2.0,2.0,0
4770,159.0,793.617,2,0,2,2,0,0,2.0,2.0,0
4800,160.0,845.264,2,0,2,2,0,0,1.0,1.0,0
4830,161.0,531.817,2,0,2,2,0,0,1.0,1.0,0
4860,162.0,616.671,2,0,2,2,0,0,1.0,1.0,0
4890,163.0,620.111,2,0,2,2,0,0,1.0,1.0,0
4920,164.0,538.276,3,0,3,3,0,0,2.0,2.0,0
4950,165.0,515.274,3,0,3,3,0,0,2.0,2.0,0
4980,166.0,491.976,3,0,3,3,0,0,2.0,2.0,0
5010,167.0,580.937,3,0,3,3,0,0,2.0,2.0,0
5040,168.0,600.022,3,0,3,3,0,0,2.0,2.0,0
5070,169.0,548.491,3,0,3,3,0,0,2.0,2.0,0
5100,170.0,534.419,3,0,3,3,0,0,2.0,2.0,0
5130,171.0,619.123,3,0,3,3,0,0,2.0,2.0,0
5160,172.0,497.561,2,0,2,2,0,0,1.0,1.0,0
5190,173.0,505.618,2,0,2,2,0,0,2.0,2.0,0
5220,174.0,597.731,2,0,2,2,0,0,2.0,2.0,0
5250,175.0,621.315,3,0,3,3,0,0,2.0,2.0,0
5280,176.0,633.333,3,0,3,3,0,0,2.0,2.0,0
5310,177.0,750.356,3,0,3,3,0,0,2.0,2.0,0
5340,178.0,847.821,3,0,3,3,0,0,1.0,1.0,0
5370,179.0,748.83,3,0,3,3,0,0,2.0,2.0,0
5400,180.0,807.569,3,0,3,3,0,0,2.0,2.0,0
5430,181.0,592.188,3,0,3,3,0,0,1.0,1.0,0
5460,182.0,560.894,2,0,2,2,0,0,2.0,2.0,0
5490,183.0,579.594,3,0,3,3,0,0,2.0,2.0,0
5520,184.0,605.668,3,0,3,3,0,0,2.0,2.0,0
5550,185.0,504.589,2,0,2,2,0,0,2.0,2.0,0
5580,186.0,565.063,2,0,2,2,0,0,2.0,2.0,0
5610,187.0,456.776,2,0,2,2,0,0,2.0,2.0,0
5640,188.0,643.453,2,0,2,2,0,0,2.0,2.0,0
5670,189.0,576.937,2,0,2,2,0,0,1.0,1.0,0
5700,190.0,596.861,2,0,2,2,0,0,1.0,1.0,0
5730,191.0,496.541,2,0,2,2,0,0,1.0,1.0,0
5760,192.0,662.824,2,0,2,2,0,0,1.0,1.0,0
5790,193.0,511.436,3,0,3,3,0,0,1.0,1.0,0
5820,194.0,543.58,3,0,3,3,0,0,1.0,1.0,0
5850,195.0,617.607,3,0,3,3,0,0,1.0,1.0,0
5880,196.0,611.904,2,0,2,2,0,0,1.0,1.0,0
5910,197.0,641.659,3,0,3,3,0,0,2.0,2.0,0
5940,198.0,536.099,3,0,3,3,0,0,2.0,2.0,0
5970,199.0,501.898,2,0,2,2,0,0,1.0,1.0,0
6000,200.0,612.551,2,0,2,2,0,0,1.0,1.0,0
6030,201.0,588.16,2,0,2,2,0,0,1.0,1.0,0
6060,202.0,589.063,3,0,3,3,0,0,1.0,1.0,0
6090,203.0,530.011,2,0,2,2,0,0,1.0,1.0,0
6120,204.0,481.393,3,0,3,3,0,0,2.0,2.0,0
6150,205.0,608.573,3,0,3,3,0,0,1.0,1.0,0
6180,206.0,594.909,3,0,3,3,0,0,1.0,1.0,0
6210,207.0,627.26,3,0,3,3,0,0,2.0,2.0,0
6240,208.0,544.44,3,0,3,3,0,0,2.0,2.0,0
6270,209.0,473.992,3,0,3,3,0,0,2.0,2.0,0
6300,210.0,644.517,2,0,2,2,0,0,1.0,1.0,0
6330,211.0,578.279,2,0,2,2,0,0,1.0,1.0,0
6360,212.0,645.554,3,0,3,3,0,0,2.0,2.0,0
6390,213.0,513.951,2,0,2,2,0,0,1.0,1.0,0
6420,214.0,617.483,2,0,2,2,0,0,1.0,1.0,0
6450,215.0,579.922,3,0,3,3,0,0,1.0,1.0,0
6480,216.0,556.72,3,0,3,3,0,0,1.0,1.0,0
6510,217.0,685.54,3,0,3,3,0,0,2.0,2.0,0
6540,218.0,595.286,2,0,2,2,0,0,1.0,1.0,0
6570,219.0,947.498,3,0,3,3,0,0,2.0,2.0,0
